,ΚΩΔΙΚΟΣ ΤΟΜΕΑ,ΟΔΟΣ,ΜΕΣΟ,ΑΠΟ,ΕΩΣ,ΑΡΙΘΜΟΣ ΘΕΣΕΩΝ,ΔΙΕΥΘΥΝΣΗ,Latitude,Longitude
97,186,ΕΛ. ΒΕΝΙΖΕΛΟΥ,53,47,55,23,"ΕΛ. ΒΕΝΙΖΕΛΟΥ 53, ΘΕΣΣΑΛΟΝΙΚΗ",40.63818095751026,22.94292095382044
98,188,ΣΙΑΤΙΣΤΗΣ,5,1,9,24,"ΣΙΑΤΙΣΤΗΣ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63779918676555,22.943390279802472
99,190,ΜΑΚΕΔΟΝΙΚΗΣ ΑΜΥΝΗΣ,7,1,11,25,"ΜΑΚΕΔΟΝΙΚΗΣ ΑΜΥΝΗΣ 7, ΘΕΣΣΑΛΟΝΙΚΗ",40.63812568790701,22.945132680536577
100,192,ΜΑΚΕΔΟΝΙΚΗΣ ΑΜΥΝΗΣ,17,13,21,24,"ΜΑΚΕΔΟΝΙΚΗΣ ΑΜΥΝΗΣ 17, ΘΕΣΣΑΛΟΝΙΚΗ",40.63894239477096,22.94585999728755
101,194,ΑΡΙΣΤΟΤΕΛΟΥΣ,33,31,35,24,"ΑΡΙΣΤΟΤΕΛΟΥΣ 33, ΘΕΣΣΑΛΟΝΙΚΗ",40.63868538624537,22.946391753720533
102,195,ΑΡΙΣΤΟΤΕΛΟΥΣ,34,32,36,20,"ΑΡΙΣΤΟΤΕΛΟΥΣ 34, ΘΕΣΣΑΛΟΝΙΚΗ",40.63843083546522,22.94684813217823
103,196,ΑΓΝΩΣΤΟΥ ΣΤΡΑΤΙΩΤΟΥ,5,3,7,10,"ΑΓΝΩΣΤΟΥ ΣΤΡΑΤΙΩΤΟΥ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63819834415133,22.947401361706905
104,197,ΜΗΤΡΟΠΟΛΙΤΟΥ ΓΕΝΝΑΔΙΟΥ,12,8,16,20,"ΜΗΤΡΟΠΟΛΙΤΟΥ ΓΕΝΝΑΔΙΟΥ 12, ΘΕΣΣΑΛΟΝΙΚΗ",40.63560674122753,22.945714718123774
105,199,Γ. ΜΠΑΚΑΤΣΕΛΟΥ,4,2,8,5,"Γ. ΜΠΑΚΑΤΣΕΛΟΥ 4, ΘΕΣΣΑΛΟΝΙΚΗ",40.63537711356296,22.946286381022244
106,200,Γ. ΜΠΑΚΑΤΣΕΛΟΥ,20,16,24,8,"Γ. ΜΠΑΚΑΤΣΕΛΟΥ 20, ΘΕΣΣΑΛΟΝΙΚΗ",40.63611757735826,22.94694088798516
107,201,ΑΓΙΑΣ ΣΟΦΙΑΣ,68,66,72,14,"ΑΓΙΑΣ ΣΟΦΙΑΣ 68, ΘΕΣΣΑΛΟΝΙΚΗ",40.636450836064064,22.948660716927293
108,202,ΑΓΙΑΣ ΣΟΦΙΑΣ,57,53,61,20,"ΑΓΙΑΣ ΣΟΦΙΑΣ 57, ΘΕΣΣΑΛΟΝΙΚΗ",40.63700421180492,22.949155584495404
