,Slot_id,Γενικό Νοσοκομείο Θεσσαλονίκης «Γ. Γεννηματάς»,Λιμάνι,Δημαρχείο Θεσσαλονίκης,Λευκός Πύργος,Αγορά Καπάνι,Λαδάδικα,Πλατεία Άθωνος,Πλατεία Αριστοτέλους,Ροτόντα,Πλατεία Αγίας Σοφίας,Πλατεία Αντιγονιδών,Μουσείο Μακεδονικού Αγώνα,Πλατεία Ναυαρίνου,Πάρκο ΧΑΝΘ,Ιερός Ναός Αγίου Δημητρίου,ΔΕΘ,ΑΠΘ,Άγαλμα Ελευθερίου Βενιζέλου,Ρωμαϊκή Αγορά Θεσσαλονίκης
100,194,921,1114,1802,1371,436,952,457,848,810,558,548,904,908,1586,61,1448,1100,277,37
101,195,874,1130,1762,1339,447,977,449,847,763,535,594,888,873,1548,104,1404,1053,296,71
102,196,820,1157,1723,1309,471,1012,453,856,713,521,647,879,839,1511,154,1357,1002,329,122
103,197,840,906,1512,1044,261,815,148,550,656,213,703,560,602,1284,402,1215,938,249,323
104,199,788,944,1468,1009,314,862,181,572,602,194,754,554,559,1242,426,1163,883,301,349
105,200,754,1023,1520,1083,362,923,266,666,590,289,736,652,620,1300,350,1189,879,301,277
106,201,632,1172,1505,1113,510,1072,412,804,498,396,831,757,637,1298,372,1136,790,428,320
107,202,624,1233,1553,1176,561,1122,477,874,516,470,838,832,699,1350,353,1169,805,461,314
108,204,744,976,1430,980,358,902,216,592,556,187,798,551,524,1206,452,1119,837,346,376
109,205,715,1038,1473,1041,392,948,275,666,545,267,783,631,576,1254,394,1141,834,344,323
110,207,688,1126,1536,1128,458,1019,370,769,548,376,777,740,655,1324,331,1178,840,371,272
111,210,676,1214,1601,1214,535,1094,467,870,570,481,786,845,738,1396,298,1221,859,423,261
112,211,558,1296,1526,1172,630,1191,537,927,467,510,906,866,696,1330,413,1127,751,533,381
113,213,590,1132,1377,977,512,1060,374,733,417,301,909,648,502,1166,489,1025,706,473,426
114,214,550,1158,1334,944,551,1095,406,750,370,313,957,647,468,1125,535,977,658,519,473
115,216,517,1225,1389,1021,593,1148,465,828,370,395,955,736,545,1187,500,1010,662,536,448
116,218,495,1325,1471,1132,669,1230,562,942,405,514,967,861,659,1280,477,1066,687,583,443
117,219,557,1129,1253,852,563,1086,401,705,351,270,1006,574,376,1040,611,914,625,558,545
118,221,500,1199,1292,918,603,1142,453,783,315,345,1011,661,443,1087,583,926,603,574,524
119,223,459,1285,1373,1028,655,1210,526,884,326,447,1007,779,556,1178,540,979,617,595,494
120,225,445,1352,1431,1106,705,1264,589,959,357,526,1017,864,636,1243,528,1020,637,626,493
121,227,397,1333,1333,1010,712,1264,577,923,269,485,1069,802,544,1144,599,928,558,656,554
122,228,386,1394,1395,1090,755,1313,633,993,310,557,1075,883,627,1213,586,975,584,682,551
123,230,366,1329,1250,932,736,1277,587,907,199,471,1124,762,472,1061,668,849,491,697,618
124,231,343,1375,1299,997,763,1312,624,960,222,522,1124,825,539,1116,651,885,506,710,608
125,232,327,1435,1358,1073,806,1361,677,1027,266,589,1133,902,619,1181,644,928,531,737,610
126,236,354,1330,1160,848,769,1294,609,896,143,471,1186,726,397,970,745,765,428,748,691
